Boat Name,Boat Type,Sail #,Rating,DW Rating,I,J,P,E,Max Hdsail,Rig Type,ISP,JSP,LOA,LWL,Beam,Draft,Displacement,Ballast,SLE,SLU,ASMG,ASF,DLR,SAD
Artemis,Custom Botin 65,61305,-135.0,405.0,93.67,36.61,85.27,29.26,105.0,MS,93.63,36.6,65.59,63.2,17.31,15.75,35884.0,15115.0,,,,,63.460223137230805,43.47175875938413
Westerly,Santa Cruz 70,18997,-90.0,435.0,72.08,21.26,64.57,24.89,153.0,MS,73.03,25.58,68.0,62.0,15.08,10.3,23240.0,9600.0,70.13,79.4,40.65,38.74,43.53244268403209,30.780981238549206
Catapult,Santa Cruz 70,87654,-84.0,433.0,73.34,22.19,66.11,25.0,155.0,MS,73.74,25.26,68.0,59.7,15.1,10.0,23847.0,9000.0,67.9,76.8,38.9,39.1,50.03371379772464,31.6110827705549
Buona Sera,Santa Cruz 70,41104,-84.0,439.0,73.15,22.52,65.49,25.39,155.0,MS,73.63,,68.9,60.4,15.1,10.62,24618.0,8390.0,,,,,49.876266080630096,31.22995679468577
Move,Pogo 40,138,-18.0,451.0,53.9,19.0,54.8,16.4,110.0,MS,61.2,23.8,40.0,40.0,14.8,9.8,9920.0,3748.0,61.4,63.6,63.7,39.1,69.19642857142856,33.26269184583506
Glass Slipper,Class 40,61642,-15.0,466.0,57.65,17.29,57.41,19.8,105.0,FS,63.3,26.6,40.2,39.9,14.8,9.84,11400.0,4890.0,64.47,73.72,41.96,42.75,80.11948443047676,33.637709085703
Arsenal,J 125,52125,-12.0,485.0,49.0,14.8,46.5,18.0,155.0,FS,52.0,23.4,41.0,37.0,10.6,7.9,8350.0,4646.0,53.44,60.04,37.07,39.27,73.59245397959789,30.31543478663531
Bodacious +,1D 48,48005,-12.0,505.0,57.7,16.7,61.3,22.5,125.0,FS,68.3,16.7,48.3,40.2,14.2,10.1,19743.0,8818.0,,67.7,,,135.67098182933572,25.609087804556694
Rufless,J 125,2125,-12.0,492.0,49.16,14.8,46.68,17.95,145.0,FS,52.26,22.85,41.0,37.0,10.6,7.9,8350.0,4646.0,52.5,59.6,36.6,38.6,73.59245397959789,30.37896873458784
Velvet Hammer,J 125,40844,-12.0,488.0,48.86,14.8,46.5,18.0,155.0,FS,52.03,22.13,41.0,37.0,10.5,7.9,9771.0,4646.0,51.18,60.7,36.79,37.73,86.11639135744323,27.262329119511136
Hana Ho,Santa Cruz 50,77007,-9.0,488.0,61.39,18.85,54.92,18.5,155.0,MS,61.5,20.73,52.0,46.0,12.0,7.75,18000.0,8000.0,,65.5,,,82.55644659441816,25.26558038344967
City Lights,Custom Santa Cruz 52 SD,28552,-6.0,496.0,64.55,18.9,57.5,21.0,155.0,MS,18.9,,53.0,46.5,14.0,7.0,24577.0,,,,,,109.12443106729971,22.928077186371233
Laissez Les BonTempsRouler,Santa Cruz 52 SD,38109,-6.0,495.0,64.13,18.9,57.5,21.0,155.0,MS,64.5,18.9,52.98,48.0,14.0,7.0,23452.0,9000.0,,69.48,,,94.66907965443123,23.578594903345806
OAXACA,Santa Cruz 50,8927,-6.0,491.0,61.48,18.88,54.75,16.98,155.0,FS,61.22,20.65,50.23,46.67,12.0,7.91,17374.0,8000.0,,,,,76.30243475349357,24.88328567093532
Destin,Landmark 43,12343,9.0,536.0,55.94,15.53,56.95,20.14,107.0,FS,63.04,22.83,42.88,36.94,12.64,9.03,18192.0,9212.0,60.37,71.52,36.09,40.68,161.1171443057437,23.269242844639987
Surf Rider,Farr 40 ODR  FR,50092,9.0,515.0,53.15,15.45,54.8,19.36,100.0,FS,53.15,15.45,40.7,35.3,13.2,8.53,10902.0,4960.0,,,,,110.64557325033468,30.57152356392717
Saoirse,Tripp 41,51597,12.0,537.0,55.5,15.9,56.6,19.25,100.0,FS,58.25,20.9,41.0,37.1,12.5,8.7,15270.0,5300.0,57.776,64.534,30.676,36.385,133.49631874118333,25.584581646164118
Hypatia,Solaris 47,70777,15.0,542.0,64.31,17.96,62.5,21.33,88.0,FS,68.0,20.0,47.8,43.9,14.1,8.2,29321.0,9000.0,58.25,66.5,24.75,33.0,154.71670186857443,20.890908339718795
Kahoots,Andrews 43,87477,18.0,552.0,56.98,16.5,50.09,17.78,154.0,MS,57.0,18.7,43.48,36.7,12.87,8.86,15251.0,6581.0,55.5,60.4,29.0,29.13,137.73747269711112,23.772009847731823
Zamazaan,Custom Farr 52,3883,21.0,516.0,61.99,18.51,65.2,23.62,135.0,MS,71.07,21.9,52.19,47.26,15.45,8.79,25391.0,9679.0,,73.16,,,107.38673426356874,24.837761236409236
